maintenance_id,aircraft_id,maintenance_date,maintenance_type,severity,downtime_hours,cost_usd,status,technician
MT0003354,AC00370,2026-02-21,Landing Gear,Low,7,51147,Completed,Technician-A
MT0003355,AC01062,2026-03-13,Structural Inspection,Medium,56,18935,Completed,Technician-A
MT0003356,AC00700,2026-04-08,Avionics Inspection,Low,68,36206,Scheduled,Technician-D
MT0003357,AC00526,2026-06-08,Landing Gear,High,20,81952,Scheduled,Technician-D
MT0003358,AC00070,2026-02-09,Routine Service,Medium,48,1536,Completed,Technician-B
MT0003359,AC01183,2026-05-25,Avionics Inspection,Critical,16,82622,Scheduled,Technician-A
MT0003360,AC00478,2026-03-01,Structural Inspection,High,15,2555,Completed,Technician-A
MT0003361,AC00741,2026-05-29,Landing Gear,Low,41,57606,In Progress,Technician-D
MT0003362,AC00898,2026-03-16,Landing Gear,High,38,31471,In Progress,Technician-D
MT0003363,AC00632,2026-03-31,Engine Inspection,Medium,20,84644,In Progress,Technician-B
MT0003364,AC00929,2026-03-30,Structural Inspection,Low,24,30828,In Progress,Technician-D
MT0003365,AC00798,2026-04-25,Landing Gear,Medium,39,3022,Completed,Technician-B
MT0003366,AC00241,2026-03-13,Engine Inspection,High,70,81187,In Progress,Technician-C
MT0003367,AC00175,2026-05-04,Avionics Inspection,Low,67,57516,Completed,Technician-C
MT0003368,AC00006,2026-02-15,Hydraulic Check,High,72,12847,Scheduled,Technician-B
MT0003369,AC00454,2026-06-07,Avionics Inspection,Low,6,14988,In Progress,Technician-B
MT0003370,AC00235,2026-03-04,Engine Inspection,Medium,23,29899,Scheduled,Technician-B
MT0003371,AC00703,2026-04-10,Landing Gear,Medium,57,43530,In Progress,Technician-B
MT0003372,AC00509,2026-05-29,Landing Gear,Medium,43,66561,Completed,Technician-B
MT0003373,AC00124,2026-02-01,Hydraulic Check,Low,20,37256,In Progress,Technician-D
MT0003374,AC00419,2026-01-15,Hydraulic Check,Medium,13,68809,In Progress,Technician-D
MT0003375,AC00267,2026-03-21,Landing Gear,Medium,9,7686,Completed,Technician-D
MT0003376,AC00822,2026-03-25,Structural Inspection,Low,68,56451,Completed,Technician-B
MT0003377,AC00320,2026-04-09,Landing Gear,High,49,17935,Scheduled,Technician-B
MT0003378,AC01084,2026-02-27,Structural Inspection,High,65,72262,In Progress,Technician-D
MT0003379,AC00870,2026-05-25,Hydraulic Check,Medium,19,68347,Completed,Technician-D
MT0003380,AC01106,2026-06-08,Engine Inspection,Low,40,55342,In Progress,Technician-B
MT0003381,AC00978,2026-05-09,Avionics Inspection,Medium,51,28515,Completed,Technician-B
MT0003382,AC00627,2026-03-16,Structural Inspection,Low,22,68328,Completed,Technician-C
MT0003383,AC00051,2026-05-28,Routine Service,Critical,38,70609,Completed,Technician-B
MT0003384,AC00262,2026-04-08,Engine Inspection,High,41,20445,Scheduled,Technician-A
MT0003385,AC00349,2026-06-17,Hydraulic Check,Medium,71,23328,Scheduled,Technician-C
MT0003386,AC00026,2026-01-26,Avionics Inspection,Medium,13,22684,Completed,Technician-C
MT0003387,AC00215,2026-07-01,Landing Gear,Medium,71,17457,Completed,Technician-D
MT0003388,AC00092,2026-02-14,Avionics Inspection,Medium,51,7575,Completed,Technician-C
MT0003389,AC00792,2026-04-29,Hydraulic Check,Low,62,15423,In Progress,Technician-A
MT0003390,AC00276,2026-02-15,Engine Inspection,Low,26,14456,Scheduled,Technician-B
MT0003391,AC00139,2026-07-02,Landing Gear,Medium,45,42177,In Progress,Technician-B
MT0003392,AC00651,2026-05-15,Routine Service,Low,61,55636,Completed,Technician-C
MT0003393,AC00162,2026-07-01,Engine Inspection,Medium,48,15019,Completed,Technician-D
MT0003394,AC00597,2026-02-25,Routine Service,Medium,60,4704,Completed,Technician-B
MT0003395,AC00597,2026-05-03,Landing Gear,Medium,15,18391,In Progress,Technician-D
MT0003396,AC00669,2026-02-11,Structural Inspection,High,35,81316,Completed,Technician-A
MT0003397,AC01197,2026-02-04,Avionics Inspection,Medium,44,9010,Completed,Technician-A
MT0003398,AC00379,2026-01-14,Landing Gear,Critical,47,84106,Scheduled,Technician-B
MT0003399,AC00438,2026-05-26,Structural Inspection,Low,59,56754,In Progress,Technician-C
MT0003400,AC00447,2026-06-01,Structural Inspection,Low,65,56849,Scheduled,Technician-D
MT0003401,AC00413,2026-04-11,Hydraulic Check,Low,37,55242,In Progress,Technician-A
MT0003402,AC00577,2026-06-07,Routine Service,Low,31,61691,Completed,Technician-C
MT0003403,AC00764,2026-03-23,Structural Inspection,Low,21,22491,Scheduled,Technician-B
MT0003404,AC00216,2026-02-25,Landing Gear,Low,8,10732,Completed,Technician-A
MT0003405,AC00876,2026-05-23,Structural Inspection,Medium,38,64532,Scheduled,Technician-C
MT0003406,AC00705,2026-03-06,Routine Service,Low,68,66233,Completed,Technician-A
MT0003407,AC00524,2026-06-26,Engine Inspection,Low,43,24127,Completed,Technician-D
MT0003408,AC01116,2026-01-01,Structural Inspection,Low,49,80447,In Progress,Technician-D
MT0003409,AC00454,2026-01-18,Engine Inspection,Medium,60,41347,Scheduled,Technician-A
MT0003410,AC00758,2026-02-25,Structural Inspection,Low,54,49690,Completed,Technician-C
MT0003411,AC00988,2026-01-29,Structural Inspection,Low,68,30400,Completed,Technician-B
MT0003412,AC00695,2026-02-22,Hydraulic Check,Low,54,18783,In Progress,Technician-A
MT0003413,AC00443,2026-03-23,Structural Inspection,Medium,17,35397,Completed,Technician-C
MT0003414,AC00158,2026-04-05,Engine Inspection,Low,32,1331,In Progress,Technician-D
MT0003415,AC00110,2026-04-15,Landing Gear,High,60,39901,In Progress,Technician-B
MT0003416,AC00370,2026-03-20,Engine Inspection,Low,62,29727,In Progress,Technician-B
MT0003417,AC00195,2026-06-06,Avionics Inspection,Critical,52,64505,Scheduled,Technician-B
MT0003418,AC00278,2026-06-03,Hydraulic Check,Critical,70,53101,In Progress,Technician-A
MT0003419,AC00398,2026-03-07,Landing Gear,Low,59,68077,In Progress,Technician-D
MT0003420,AC00399,2026-03-10,Landing Gear,Medium,43,78503,Completed,Technician-A
MT0003421,AC00871,2026-06-30,Routine Service,Low,72,84843,In Progress,Technician-B
MT0003422,AC00151,2026-06-02,Structural Inspection,Medium,30,26173,Scheduled,Technician-A
MT0003423,AC00285,2026-06-06,Engine Inspection,Low,20,35516,In Progress,Technician-D
MT0003424,AC00806,2026-04-04,Engine Inspection,Low,33,64346,Completed,Technician-D
MT0003425,AC00132,2026-01-16,Hydraulic Check,Low,62,24995,Scheduled,Technician-A
MT0003426,AC00120,2026-04-03,Routine Service,High,53,63802,Completed,Technician-C
MT0003427,AC00960,2026-02-19,Landing Gear,Low,72,80342,Completed,Technician-C
MT0003428,AC01116,2026-04-05,Routine Service,Medium,65,84554,Scheduled,Technician-D
MT0003429,AC00430,2026-01-11,Landing Gear,Low,22,67395,Scheduled,Technician-A
MT0003430,AC01101,2026-04-13,Engine Inspection,High,19,42046,Completed,Technician-C
MT0003431,AC01012,2026-01-24,Avionics Inspection,Low,60,21432,Completed,Technician-A
MT0003432,AC01136,2026-05-06,Hydraulic Check,Medium,18,76023,In Progress,Technician-C
MT0003433,AC00147,2026-06-04,Engine Inspection,Medium,61,49246,Completed,Technician-B
MT0003434,AC00371,2026-06-11,Hydraulic Check,High,57,49073,Scheduled,Technician-C
MT0003435,AC00823,2026-05-04,Hydraulic Check,Medium,57,45596,Completed,Technician-C
MT0003436,AC00342,2026-06-08,Avionics Inspection,Low,69,2115,Scheduled,Technician-B
MT0003437,AC00870,2026-06-06,Routine Service,Medium,23,43516,Completed,Technician-B
MT0003438,AC00266,2026-02-02,Avionics Inspection,High,56,1939,In Progress,Technician-C
MT0003439,AC00204,2026-03-21,Landing Gear,Medium,37,12841,In Progress,Technician-D
MT0003440,AC00808,2026-01-31,Routine Service,Medium,67,36134,Scheduled,Technician-D
MT0003441,AC00971,2026-01-08,Structural Inspection,Low,43,46706,Completed,Technician-D
MT0003442,AC01067,2026-05-02,Structural Inspection,High,26,56871,In Progress,Technician-B
MT0003443,AC00446,2026-03-16,Landing Gear,Medium,33,82646,Completed,Technician-B
MT0003444,AC00617,2026-03-28,Landing Gear,Low,66,42039,Completed,Technician-C
MT0003445,AC00199,2026-01-18,Structural Inspection,Medium,15,79447,In Progress,Technician-D
MT0003446,AC00921,2026-05-08,Routine Service,Medium,48,54241,Completed,Technician-C
MT0003447,AC00754,2026-03-02,Landing Gear,High,18,65492,In Progress,Technician-D
MT0003448,AC00161,2026-04-10,Avionics Inspection,High,40,39402,In Progress,Technician-A
MT0003449,AC00110,2026-04-12,Structural Inspection,High,26,24047,Completed,Technician-D
MT0003450,AC00415,2026-05-25,Engine Inspection,Low,26,28573,In Progress,Technician-C
MT0003451,AC00628,2026-03-06,Avionics Inspection,High,26,18076,In Progress,Technician-B
MT0003452,AC00667,2026-02-21,Routine Service,Medium,72,44240,Scheduled,Technician-C
MT0003453,AC00818,2026-03-24,Hydraulic Check,Low,7,17602,In Progress,Technician-B
MT0003454,AC00463,2026-06-24,Hydraulic Check,Medium,6,76599,Completed,Technician-A
MT0003455,AC00198,2026-04-07,Avionics Inspection,High,35,36281,Completed,Technician-C
MT0003456,AC00140,2026-05-13,Hydraulic Check,Medium,25,58127,Completed,Technician-B
MT0003457,AC00297,2026-06-16,Landing Gear,Low,56,80692,Scheduled,Technician-A
MT0003458,AC00665,2026-04-24,Avionics Inspection,Medium,68,62992,In Progress,Technician-A
MT0003459,AC00553,2026-03-20,Engine Inspection,Low,69,7650,Completed,Technician-C
MT0003460,AC00716,2026-06-30,Landing Gear,Medium,8,14928,Completed,Technician-A
MT0003461,AC00251,2026-06-25,Hydraulic Check,Medium,55,61957,In Progress,Technician-A
MT0003462,AC00783,2026-06-12,Avionics Inspection,Low,10,72145,Completed,Technician-D
MT0003463,AC00940,2026-02-26,Engine Inspection,Medium,50,1160,In Progress,Technician-D
MT0003464,AC00499,2026-05-11,Avionics Inspection,Low,14,26984,In Progress,Technician-C
MT0003465,AC01052,2026-02-24,Hydraulic Check,Medium,28,14206,In Progress,Technician-A
MT0003466,AC00093,2026-02-03,Hydraulic Check,Low,9,63951,In Progress,Technician-C
MT0003467,AC00495,2026-04-24,Engine Inspection,Low,17,64310,Scheduled,Technician-A
MT0003468,AC00013,2026-05-29,Routine Service,Low,66,71487,Scheduled,Technician-A
MT0003469,AC00824,2026-04-26,Avionics Inspection,Low,35,56420,In Progress,Technician-D
MT0003470,AC00398,2026-04-04,Routine Service,High,68,72189,Scheduled,Technician-D
MT0003471,AC00106,2026-03-26,Avionics Inspection,Critical,40,35066,Completed,Technician-B
MT0003472,AC00878,2026-03-30,Hydraulic Check,Medium,56,12354,Completed,Technician-C
MT0003473,AC00268,2026-05-12,Structural Inspection,Medium,9,29055,Completed,Technician-A
MT0003474,AC00721,2026-06-17,Structural Inspection,Medium,42,69291,In Progress,Technician-D
MT0003475,AC00985,2026-06-13,Routine Service,Medium,67,13156,Completed,Technician-A
MT0003476,AC00027,2026-06-18,Hydraulic Check,High,16,2920,Scheduled,Technician-D
MT0003477,AC00969,2026-03-15,Avionics Inspection,Medium,4,21314,In Progress,Technician-A
MT0003478,AC00832,2026-03-05,Hydraulic Check,Low,20,4673,Completed,Technician-D
MT0003479,AC00358,2026-01-03,Engine Inspection,High,10,57507,Completed,Technician-D
MT0003480,AC00936,2026-01-09,Avionics Inspection,Low,47,65081,Completed,Technician-A
MT0003481,AC01199,2026-04-18,Hydraulic Check,Medium,24,62109,Completed,Technician-C
MT0003482,AC01007,2026-02-03,Routine Service,High,52,3924,Completed,Technician-C
MT0003483,AC00912,2026-03-22,Avionics Inspection,Medium,68,38596,Scheduled,Technician-B
MT0003484,AC00387,2026-02-04,Avionics Inspection,Medium,55,23388,Scheduled,Technician-D
MT0003485,AC00378,2026-03-27,Hydraulic Check,Medium,38,79687,Completed,Technician-D
MT0003486,AC00159,2026-02-23,Engine Inspection,High,32,55396,Scheduled,Technician-D
MT0003487,AC00243,2026-04-01,Avionics Inspection,Medium,62,27634,Scheduled,Technician-B
MT0003488,AC00802,2026-05-15,Hydraulic Check,Low,43,77589,In Progress,Technician-C
MT0003489,AC00641,2026-01-16,Avionics Inspection,Medium,44,15345,Completed,Technician-D
MT0003490,AC00640,2026-01-09,Engine Inspection,Medium,60,84137,Completed,Technician-C
MT0003491,AC01001,2026-06-19,Routine Service,High,18,73525,Completed,Technician-A
MT0003492,AC00273,2026-02-21,Routine Service,Low,61,10319,Completed,Technician-D
MT0003493,AC00891,2026-04-13,Hydraulic Check,Medium,11,42670,Scheduled,Technician-A
MT0003494,AC00336,2026-04-01,Structural Inspection,Medium,37,59409,Completed,Technician-A
MT0003495,AC01111,2026-06-02,Hydraulic Check,Medium,19,38889,Scheduled,Technician-D
MT0003496,AC00739,2026-05-08,Hydraulic Check,Low,40,19614,Completed,Technician-A
MT0003497,AC00644,2026-02-13,Avionics Inspection,High,22,11831,Completed,Technician-C
MT0003498,AC00900,2026-07-01,Hydraulic Check,Low,17,73275,Completed,Technician-C
MT0003499,AC00560,2026-02-18,Avionics Inspection,Low,43,55144,In Progress,Technician-A
MT0003500,AC00531,2026-05-20,Hydraulic Check,Critical,37,56687,In Progress,Technician-D
MT0003501,AC00479,2026-03-01,Structural Inspection,Medium,33,69280,Completed,Technician-B
MT0003502,AC00430,2026-05-03,Landing Gear,Medium,56,32345,Completed,Technician-B
MT0003503,AC00634,2026-05-12,Landing Gear,Low,27,37338,In Progress,Technician-A
MT0003504,AC00426,2026-04-11,Avionics Inspection,High,22,53716,Completed,Technician-D
MT0003505,AC00287,2026-01-02,Hydraulic Check,Medium,25,24045,Completed,Technician-D
MT0003506,AC00456,2026-04-09,Avionics Inspection,Low,64,10349,Completed,Technician-C
MT0003507,AC00745,2026-01-16,Engine Inspection,Low,62,84912,Completed,Technician-D
MT0003508,AC00074,2026-04-04,Routine Service,Medium,5,26905,Scheduled,Technician-D
MT0003509,AC00743,2026-02-24,Hydraulic Check,Low,28,30860,Completed,Technician-C
MT0003510,AC00675,2026-04-02,Hydraulic Check,Medium,31,58250,Completed,Technician-B
MT0003511,AC00255,2026-01-06,Landing Gear,Medium,69,59169,In Progress,Technician-C
MT0003512,AC00007,2026-01-25,Routine Service,High,45,13352,Scheduled,Technician-D
MT0003513,AC00914,2026-03-29,Avionics Inspection,Low,47,46369,Completed,Technician-C
MT0003514,AC00026,2026-02-03,Hydraulic Check,Medium,46,74638,Scheduled,Technician-C
MT0003515,AC00839,2026-04-03,Structural Inspection,Low,57,45160,Completed,Technician-B
MT0003516,AC00167,2026-04-27,Avionics Inspection,Medium,6,2097,Completed,Technician-A
MT0003517,AC00906,2026-03-17,Engine Inspection,Low,22,60841,Completed,Technician-A
MT0003518,AC00827,2026-02-14,Avionics Inspection,Critical,12,12779,In Progress,Technician-B
MT0003519,AC00161,2026-02-02,Structural Inspection,Low,64,13137,In Progress,Technician-D
MT0003520,AC01161,2026-05-21,Avionics Inspection,High,46,68559,In Progress,Technician-A
MT0003521,AC00291,2026-05-30,Avionics Inspection,Medium,16,24286,Scheduled,Technician-B
MT0003522,AC01001,2026-05-10,Routine Service,Medium,29,18117,Completed,Technician-A
MT0003523,AC00498,2026-05-16,Engine Inspection,Low,25,55095,Completed,Technician-B
MT0003524,AC00936,2026-06-30,Engine Inspection,Low,8,83551,Completed,Technician-D
MT0003525,AC00315,2026-05-07,Routine Service,Medium,69,80375,Completed,Technician-B
MT0003526,AC00506,2026-06-09,Landing Gear,Low,53,543,In Progress,Technician-D
MT0003527,AC00520,2026-04-24,Structural Inspection,High,64,855,Scheduled,Technician-B
MT0003528,AC00027,2026-06-15,Structural Inspection,Low,50,56884,Completed,Technician-B
MT0003529,AC00545,2026-06-27,Engine Inspection,Medium,17,41803,In Progress,Technician-D
MT0003530,AC00315,2026-04-23,Avionics Inspection,Low,22,70953,Scheduled,Technician-B
MT0003531,AC00843,2026-02-23,Landing Gear,High,9,40724,Scheduled,Technician-B
MT0003532,AC00693,2026-01-23,Landing Gear,Medium,39,81964,Scheduled,Technician-A
MT0003533,AC00209,2026-06-30,Routine Service,High,8,67285,Completed,Technician-A
MT0003534,AC00750,2026-03-28,Hydraulic Check,Medium,11,24117,In Progress,Technician-C
MT0003535,AC00432,2026-05-24,Routine Service,Low,16,69011,In Progress,Technician-A
MT0003536,AC00401,2026-03-26,Landing Gear,Low,9,2668,Completed,Technician-B
MT0003537,AC00448,2026-05-18,Landing Gear,Low,4,52107,Completed,Technician-D
MT0003538,AC00108,2026-06-20,Landing Gear,Medium,65,65425,Scheduled,Technician-D
MT0003539,AC00724,2026-02-15,Engine Inspection,Medium,71,34730,In Progress,Technician-B
MT0003540,AC00993,2026-02-05,Landing Gear,Low,53,59651,In Progress,Technician-C
MT0003541,AC00389,2026-01-14,Structural Inspection,Low,9,45934,Completed,Technician-A
MT0003542,AC00748,2026-03-04,Hydraulic Check,High,32,45434,Scheduled,Technician-C
MT0003543,AC00070,2026-03-30,Routine Service,Low,68,77874,In Progress,Technician-C
MT0003544,AC00374,2026-06-11,Hydraulic Check,Medium,62,57198,Scheduled,Technician-B
MT0003545,AC00160,2026-04-23,Avionics Inspection,Medium,24,37623,Completed,Technician-A
MT0003546,AC00828,2026-07-01,Structural Inspection,Low,15,68851,Scheduled,Technician-C
MT0003547,AC00625,2026-06-24,Routine Service,High,59,28829,In Progress,Technician-A
MT0003548,AC01007,2026-01-17,Engine Inspection,Low,18,60237,In Progress,Technician-B
MT0003549,AC00505,2026-04-09,Structural Inspection,High,67,70648,Completed,Technician-B
MT0003550,AC00775,2026-04-20,Structural Inspection,Low,24,47442,In Progress,Technician-B
MT0003551,AC01032,2026-02-07,Routine Service,Low,72,82154,Completed,Technician-A
MT0003552,AC00277,2026-03-11,Engine Inspection,Low,70,68451,Scheduled,Technician-B
MT0003553,AC00504,2026-03-07,Hydraulic Check,Medium,25,67725,Completed,Technician-B
MT0003554,AC00504,2026-02-24,Avionics Inspection,Medium,71,7855,In Progress,Technician-D
MT0003555,AC00377,2026-05-15,Routine Service,Low,18,56856,Scheduled,Technician-C
MT0003556,AC00524,2026-02-24,Engine Inspection,Medium,39,62482,Scheduled,Technician-B
MT0003557,AC00904,2026-03-01,Routine Service,High,23,45528,Completed,Technician-D
MT0003558,AC00660,2026-02-17,Engine Inspection,Low,55,29218,In Progress,Technician-C
MT0003559,AC00033,2026-06-22,Structural Inspection,Medium,38,73837,Completed,Technician-D
MT0003560,AC00416,2026-04-02,Engine Inspection,Low,22,712,Scheduled,Technician-A
MT0003561,AC00008,2026-03-19,Avionics Inspection,Medium,56,26754,Scheduled,Technician-D
MT0003562,AC01063,2026-04-07,Hydraulic Check,Medium,71,43806,Scheduled,Technician-B
MT0003563,AC00479,2026-04-20,Hydraulic Check,Low,18,2841,Completed,Technician-A
MT0003564,AC00108,2026-06-16,Avionics Inspection,Medium,42,54666,Completed,Technician-C
MT0003565,AC00408,2026-05-27,Structural Inspection,High,55,22264,Completed,Technician-A
MT0003566,AC00416,2026-05-17,Routine Service,Low,50,9547,Scheduled,Technician-B
MT0003567,AC00558,2026-01-27,Engine Inspection,Low,20,19631,Completed,Technician-D
MT0003568,AC00839,2026-02-07,Avionics Inspection,Low,26,62118,Completed,Technician-B
MT0003569,AC00680,2026-06-07,Landing Gear,Medium,38,81053,Scheduled,Technician-D
MT0003570,AC00719,2026-05-05,Avionics Inspection,Low,40,9146,Completed,Technician-D
MT0003571,AC00437,2026-01-31,Avionics Inspection,High,65,25143,Scheduled,Technician-B
MT0003572,AC01173,2026-01-28,Routine Service,Critical,59,49110,Completed,Technician-C
MT0003573,AC00329,2026-06-23,Hydraulic Check,Medium,49,72832,Scheduled,Technician-C
MT0003574,AC01189,2026-02-23,Hydraulic Check,Critical,14,41749,Completed,Technician-D
MT0003575,AC00625,2026-04-25,Structural Inspection,Medium,53,16004,Completed,Technician-D
MT0003576,AC01038,2026-06-27,Structural Inspection,Low,41,67502,Scheduled,Technician-C
MT0003577,AC00946,2026-01-28,Landing Gear,Low,10,73610,In Progress,Technician-C
MT0003578,AC00140,2026-04-10,Engine Inspection,Low,63,1684,In Progress,Technician-C
MT0003579,AC00811,2026-01-16,Landing Gear,Low,24,54088,Scheduled,Technician-A
MT0003580,AC00444,2026-06-18,Engine Inspection,Low,67,35420,Completed,Technician-B
MT0003581,AC00370,2026-01-29,Engine Inspection,Medium,64,15557,In Progress,Technician-C
MT0003582,AC00634,2026-01-21,Hydraulic Check,Critical,69,10172,Scheduled,Technician-C
MT0003583,AC00562,2026-03-01,Hydraulic Check,Low,23,20382,In Progress,Technician-C
MT0003584,AC00386,2026-01-16,Avionics Inspection,Medium,3,35702,Scheduled,Technician-B
MT0003585,AC00239,2026-02-03,Engine Inspection,Low,21,67756,Scheduled,Technician-C
MT0003586,AC01070,2026-06-30,Engine Inspection,Low,10,21851,In Progress,Technician-A
MT0003587,AC00217,2026-03-28,Routine Service,Medium,61,75712,Scheduled,Technician-D
MT0003588,AC00116,2026-02-07,Landing Gear,High,38,22048,In Progress,Technician-C
MT0003589,AC01018,2026-03-25,Hydraulic Check,Medium,6,41779,In Progress,Technician-C
MT0003590,AC01100,2026-03-14,Structural Inspection,Low,45,69179,In Progress,Technician-B
MT0003591,AC00203,2026-01-19,Engine Inspection,Medium,2,45235,In Progress,Technician-C
MT0003592,AC00487,2026-06-18,Engine Inspection,High,44,14650,In Progress,Technician-A
MT0003593,AC00133,2026-02-16,Structural Inspection,High,23,83636,In Progress,Technician-A
MT0003594,AC00382,2026-06-13,Hydraulic Check,Low,71,1776,Completed,Technician-D
MT0003595,AC00377,2026-01-03,Engine Inspection,Critical,63,47143,In Progress,Technician-A
MT0003596,AC00866,2026-06-08,Hydraulic Check,Medium,27,71821,Completed,Technician-C
MT0003597,AC00524,2026-01-08,Structural Inspection,Low,51,18787,In Progress,Technician-D
MT0003598,AC00623,2026-03-20,Avionics Inspection,Low,51,77051,Scheduled,Technician-C
MT0003599,AC00234,2026-01-10,Landing Gear,High,47,83096,In Progress,Technician-C
MT0003600,AC00736,2026-05-17,Avionics Inspection,Low,40,51974,Completed,Technician-C
MT0003601,AC00134,2026-06-19,Landing Gear,Low,31,12696,In Progress,Technician-A
MT0003602,AC00491,2026-03-20,Landing Gear,Medium,69,46878,Completed,Technician-B
MT0003603,AC00813,2026-06-22,Hydraulic Check,Low,22,81685,In Progress,Technician-A
MT0003604,AC00166,2026-03-02,Avionics Inspection,Medium,11,56365,Completed,Technician-D
MT0003605,AC00998,2026-02-10,Hydraulic Check,Low,53,38079,Completed,Technician-C
MT0003606,AC00112,2026-01-27,Routine Service,Low,36,20732,Completed,Technician-A
MT0003607,AC00822,2026-02-13,Avionics Inspection,Low,64,22117,Completed,Technician-D
MT0003608,AC00268,2026-02-20,Avionics Inspection,Low,29,60706,Scheduled,Technician-A
MT0003609,AC00350,2026-06-24,Landing Gear,Low,71,21447,Scheduled,Technician-B
MT0003610,AC00479,2026-01-28,Engine Inspection,Low,49,68657,Completed,Technician-B
MT0003611,AC00129,2026-01-06,Routine Service,Low,6,42584,In Progress,Technician-D
MT0003612,AC00056,2026-06-24,Structural Inspection,Medium,61,75844,Completed,Technician-B
MT0003613,AC00147,2026-02-04,Hydraulic Check,Low,28,53812,Completed,Technician-A
MT0003614,AC00569,2026-05-19,Routine Service,Low,68,16434,Scheduled,Technician-B
MT0003615,AC00683,2026-01-09,Hydraulic Check,Critical,21,11210,Scheduled,Technician-A
MT0003616,AC00894,2026-01-29,Hydraulic Check,Low,56,74525,Completed,Technician-C
MT0003617,AC00465,2026-03-10,Engine Inspection,High,61,18114,In Progress,Technician-A
MT0003618,AC00346,2026-06-25,Avionics Inspection,High,44,60947,Scheduled,Technician-C
MT0003619,AC00889,2026-01-03,Structural Inspection,Low,67,49309,Completed,Technician-D
MT0003620,AC00859,2026-06-02,Landing Gear,Medium,49,77111,Completed,Technician-C
MT0003621,AC00977,2026-01-19,Routine Service,Low,58,14733,Completed,Technician-A
MT0003622,AC01050,2026-03-08,Landing Gear,Medium,36,13685,Completed,Technician-D
MT0003623,AC00913,2026-05-16,Engine Inspection,Low,2,23838,Completed,Technician-A
MT0003624,AC00244,2026-04-09,Hydraulic Check,Low,11,42038,Completed,Technician-D
MT0003625,AC00170,2026-03-12,Engine Inspection,Low,24,75577,In Progress,Technician-A
MT0003626,AC00448,2026-04-18,Hydraulic Check,Low,48,55521,Scheduled,Technician-C
MT0003627,AC00475,2026-01-14,Hydraulic Check,Medium,25,81629,In Progress,Technician-D
MT0003628,AC00557,2026-02-12,Routine Service,Low,55,83577,Scheduled,Technician-A
MT0003629,AC00590,2026-03-29,Avionics Inspection,Low,17,40583,Scheduled,Technician-B
MT0003630,AC00458,2026-01-22,Structural Inspection,Medium,10,71741,Completed,Technician-C
MT0003631,AC00670,2026-04-16,Hydraulic Check,Low,70,53884,In Progress,Technician-A
MT0003632,AC00054,2026-03-30,Landing Gear,Low,12,66512,In Progress,Technician-B
MT0003633,AC00741,2026-04-15,Engine Inspection,Low,56,76276,In Progress,Technician-B
MT0003634,AC00983,2026-06-18,Routine Service,Medium,53,39933,Completed,Technician-B
MT0003635,AC00447,2026-03-09,Hydraulic Check,Low,56,66219,In Progress,Technician-B
MT0003636,AC00666,2026-02-03,Routine Service,High,14,58481,Completed,Technician-B
MT0003637,AC00805,2026-03-27,Engine Inspection,High,2,59019,Completed,Technician-C
MT0003638,AC00017,2026-04-02,Avionics Inspection,High,46,32694,Scheduled,Technician-D
MT0003639,AC00951,2026-03-16,Landing Gear,High,72,27225,In Progress,Technician-B
MT0003640,AC00728,2026-06-17,Routine Service,Low,36,61527,Completed,Technician-C
MT0003641,AC00494,2026-03-17,Routine Service,Medium,60,50709,In Progress,Technician-D
MT0003642,AC00601,2026-02-23,Landing Gear,Medium,28,22163,In Progress,Technician-D
MT0003643,AC00770,2026-06-20,Landing Gear,Critical,55,74602,Scheduled,Technician-C
MT0003644,AC00020,2026-03-28,Engine Inspection,High,24,82764,Completed,Technician-C
MT0003645,AC00442,2026-02-10,Hydraulic Check,Medium,47,5025,Completed,Technician-C
MT0003646,AC00888,2026-02-21,Routine Service,Medium,7,40270,Completed,Technician-D
MT0003647,AC01173,2026-06-23,Hydraulic Check,Low,72,24013,In Progress,Technician-A
MT0003648,AC00672,2026-05-11,Engine Inspection,Low,63,65686,Completed,Technician-D
MT0003649,AC01180,2026-05-30,Structural Inspection,Medium,10,4863,Completed,Technician-A
MT0003650,AC00224,2026-06-06,Engine Inspection,Medium,4,28081,Completed,Technician-B
MT0003651,AC00814,2026-06-28,Engine Inspection,Low,48,10244,Scheduled,Technician-A
MT0003652,AC00827,2026-01-21,Routine Service,Low,58,63429,In Progress,Technician-A
MT0003653,AC01036,2026-04-08,Structural Inspection,Low,27,24410,Completed,Technician-D
MT0003654,AC00069,2026-04-01,Routine Service,Critical,50,19187,Scheduled,Technician-C
MT0003655,AC00998,2026-03-17,Landing Gear,High,5,26581,In Progress,Technician-B
MT0003656,AC00729,2026-02-14,Structural Inspection,Low,22,33400,In Progress,Technician-D
MT0003657,AC00199,2026-05-08,Structural Inspection,High,29,11269,In Progress,Technician-D
MT0003658,AC01075,2026-05-31,Landing Gear,Low,11,25129,Completed,Technician-A
MT0003659,AC00771,2026-03-25,Hydraulic Check,High,71,60273,In Progress,Technician-D
MT0003660,AC00181,2026-02-21,Structural Inspection,Low,44,38751,Completed,Technician-A
MT0003661,AC00624,2026-02-02,Avionics Inspection,Medium,65,6526,In Progress,Technician-C
MT0003662,AC00523,2026-05-15,Hydraulic Check,Low,52,57891,In Progress,Technician-D
MT0003663,AC00390,2026-01-25,Routine Service,Medium,45,67383,Completed,Technician-D
