incident_id,flight_id,aircraft_id,incident_timestamp,incident_type,severity,resolution_status,airport
IN0001741,FL0011719,AC00865,2026-06-29 09:30:00,Bird Strike,Medium,Resolved,BOS
IN0001742,FL0003934,AC00456,2026-01-02 13:37:00,Weather Alert,Low,Resolved,LAX
IN0001743,FL0003827,AC00341,2026-06-04 12:13:00,Navigation Error,Medium,Closed,DEL
IN0001744,FL0001024,AC00783,2026-06-08 06:09:00,Brake Issue,Medium,Open,BLR
IN0001745,FL0003653,AC01175,2026-03-29 19:42:00,Navigation Error,High,Closed,DEL
IN0001746,FL0012482,AC00925,2026-06-16 01:15:00,Hydraulic Leak,High,Investigating,MIA
IN0001747,FL0004700,AC01065,2026-05-30 23:18:00,Brake Issue,High,Investigating,MIA
IN0001748,FL0007325,AC00119,2026-05-05 05:48:00,Bird Strike,Low,Closed,MIA
IN0001749,FL0004259,AC01137,2026-02-25 07:33:00,Navigation Error,High,Resolved,DEL
IN0001750,FL0002277,AC00906,2026-06-08 05:55:00,Turbulence,Low,Open,SFO
IN0001751,FL0007964,AC00226,2026-03-25 15:00:00,Turbulence,Low,Investigating,DEN
IN0001752,FL0000967,AC00280,2026-06-12 02:58:00,Engine Alert,Medium,Investigating,ORD
IN0001753,FL0005513,AC00740,2026-06-19 07:13:00,Turbulence,Medium,Open,ORD
IN0001754,FL0010175,AC00442,2026-03-15 04:40:00,Weather Alert,Low,Closed,BOS
IN0001755,FL0004237,AC00369,2026-03-25 11:51:00,Brake Issue,Low,Closed,DFW
IN0001756,FL0007611,AC00760,2026-01-27 06:46:00,Engine Alert,Low,Investigating,JFK
IN0001757,FL0003804,AC01038,2026-04-06 20:17:00,Navigation Error,Medium,Open,BOS
IN0001758,FL0009366,AC00790,2026-03-07 02:54:00,Brake Issue,Low,Investigating,ATL
IN0001759,FL0003712,AC00065,2026-03-19 21:04:00,Brake Issue,Low,Open,ORD
IN0001760,FL0014859,AC00256,2026-04-30 18:55:00,Navigation Error,Medium,Open,BOS
IN0001761,FL0013795,AC00426,2026-05-31 19:45:00,Turbulence,Low,Resolved,DFW
IN0001762,FL0005195,AC00096,2026-03-16 13:53:00,Bird Strike,Low,Resolved,MIA
IN0001763,FL0000684,AC00171,2026-05-14 16:24:00,Brake Issue,Medium,Closed,SIN
IN0001764,FL0005607,AC00064,2026-05-01 17:53:00,Navigation Error,Low,Resolved,DEN
IN0001765,FL0002386,AC00044,2026-05-17 23:44:00,Brake Issue,Low,Closed,ORD
IN0001766,FL0004996,AC00314,2026-03-07 13:48:00,Bird Strike,Medium,Open,JFK
IN0001767,FL0004946,AC00695,2026-05-13 04:50:00,Bird Strike,Low,Resolved,SEA
IN0001768,FL0010342,AC00065,2026-01-14 08:52:00,Bird Strike,Low,Investigating,JFK
IN0001769,FL0010678,AC00538,2026-06-18 13:33:00,Brake Issue,Low,Resolved,LHR
IN0001770,FL0006992,AC01195,2026-05-23 16:05:00,Navigation Error,Medium,Closed,SFO
IN0001771,FL0013900,AC00611,2026-01-11 19:05:00,Navigation Error,Low,Closed,BOS
IN0001772,FL0009595,AC01165,2026-01-23 15:59:00,Engine Alert,Critical,Investigating,ATL
IN0001773,FL0011390,AC00947,2026-06-06 14:00:00,Brake Issue,Low,Closed,ATL
IN0001774,FL0006398,AC00276,2026-04-10 21:52:00,Engine Alert,Medium,Resolved,DXB
IN0001775,FL0001855,AC00467,2026-04-29 14:47:00,Hydraulic Leak,Medium,Investigating,ATL
IN0001776,FL0013211,AC00725,2026-02-08 13:21:00,Turbulence,Medium,Open,JFK
IN0001777,FL0001940,AC00750,2026-01-25 23:32:00,Bird Strike,Medium,Open,SEA
IN0001778,FL0000129,AC00387,2026-02-04 15:06:00,Engine Alert,Low,Resolved,BOS
IN0001779,FL0001049,AC00176,2026-01-16 07:36:00,Engine Alert,Low,Closed,DEL
IN0001780,FL0001380,AC00178,2026-05-02 17:09:00,Navigation Error,Low,Open,ORD
IN0001781,FL0001848,AC00247,2026-05-31 05:30:00,Bird Strike,Low,Open,DEL
IN0001782,FL0009261,AC00597,2026-07-01 20:39:00,Navigation Error,High,Closed,DXB
IN0001783,FL0007357,AC00685,2026-03-19 10:00:00,Bird Strike,High,Investigating,LHR
IN0001784,FL0002174,AC00725,2026-04-06 18:44:00,Engine Alert,Medium,Resolved,MIA
IN0001785,FL0006017,AC00133,2026-03-29 20:19:00,Navigation Error,Low,Open,DXB
IN0001786,FL0005861,AC00871,2026-07-01 09:23:00,Brake Issue,Low,Investigating,LHR
IN0001787,FL0010234,AC00129,2026-05-16 03:37:00,Hydraulic Leak,Low,Resolved,DEN
IN0001788,FL0013613,AC00023,2026-01-22 09:35:00,Bird Strike,Low,Investigating,SEA
IN0001789,FL0002055,AC00746,2026-01-14 03:34:00,Weather Alert,Low,Open,MIA
IN0001790,FL0007886,AC01025,2026-04-19 18:50:00,Navigation Error,Low,Investigating,LHR
IN0001791,FL0013975,AC00900,2026-06-26 20:51:00,Brake Issue,High,Open,ORD
IN0001792,FL0011541,AC01066,2026-03-20 10:30:00,Brake Issue,Low,Open,SIN
IN0001793,FL0010766,AC00611,2026-05-14 21:12:00,Brake Issue,Critical,Investigating,JFK
IN0001794,FL0004983,AC00845,2026-06-27 19:27:00,Brake Issue,Medium,Investigating,JFK
IN0001795,FL0010366,AC00827,2026-04-22 03:19:00,Weather Alert,Medium,Open,DFW
IN0001796,FL0005083,AC00839,2026-05-07 17:47:00,Hydraulic Leak,Medium,Investigating,JFK
IN0001797,FL0009379,AC00271,2026-06-01 23:24:00,Engine Alert,Medium,Resolved,DXB
IN0001798,FL0006291,AC01157,2026-06-22 05:31:00,Brake Issue,Medium,Investigating,LAX
IN0001799,FL0005686,AC00400,2026-06-18 12:14:00,Engine Alert,High,Open,DXB
IN0001800,FL0013682,AC00810,2026-01-11 08:31:00,Hydraulic Leak,Low,Resolved,SEA
IN0001801,FL0000258,AC01125,2026-03-08 08:42:00,Engine Alert,Low,Investigating,ORD
IN0001802,FL0010025,AC00514,2026-04-06 21:37:00,Hydraulic Leak,High,Investigating,JFK
IN0001803,FL0010413,AC01158,2026-03-17 01:46:00,Engine Alert,Low,Investigating,LAX
IN0001804,FL0007189,AC00169,2026-05-29 15:14:00,Engine Alert,Medium,Closed,DEL
IN0001805,FL0007430,AC00629,2026-06-13 21:13:00,Brake Issue,High,Resolved,DFW
IN0001806,FL0012140,AC00219,2026-05-23 16:24:00,Navigation Error,Low,Closed,ATL
IN0001807,FL0008578,AC00261,2026-04-28 05:02:00,Bird Strike,Medium,Closed,ATL
IN0001808,FL0012952,AC00828,2026-01-26 00:32:00,Weather Alert,Low,Resolved,ATL
IN0001809,FL0011648,AC00438,2026-02-15 03:11:00,Hydraulic Leak,Medium,Investigating,BOS
IN0001810,FL0000542,AC00069,2026-01-15 05:05:00,Brake Issue,Low,Closed,ATL
IN0001811,FL0005523,AC01191,2026-01-07 19:16:00,Turbulence,Critical,Closed,DEL
IN0001812,FL0005082,AC00628,2026-06-12 16:12:00,Weather Alert,High,Resolved,SEA
IN0001813,FL0000526,AC00636,2026-04-16 02:24:00,Hydraulic Leak,Low,Closed,BLR
IN0001814,FL0009801,AC00962,2026-06-05 15:08:00,Weather Alert,Critical,Closed,SIN
IN0001815,FL0010494,AC01089,2026-06-01 15:17:00,Weather Alert,Low,Resolved,MIA
IN0001816,FL0008637,AC00728,2026-01-22 04:31:00,Engine Alert,High,Resolved,SFO
IN0001817,FL0013159,AC00464,2026-06-22 14:01:00,Hydraulic Leak,Low,Resolved,ATL
IN0001818,FL0014473,AC00385,2026-05-30 04:42:00,Turbulence,High,Investigating,JFK
IN0001819,FL0012461,AC00070,2026-02-26 01:11:00,Navigation Error,Low,Closed,SIN
IN0001820,FL0005234,AC00868,2026-01-02 06:31:00,Turbulence,High,Closed,SEA
IN0001821,FL0011452,AC00344,2026-01-12 17:48:00,Navigation Error,Low,Open,DXB
IN0001822,FL0009433,AC00058,2026-06-03 10:32:00,Engine Alert,Low,Closed,DFW
IN0001823,FL0001971,AC00294,2026-06-13 03:40:00,Turbulence,Medium,Closed,ORD
IN0001824,FL0002328,AC00409,2026-05-25 13:20:00,Engine Alert,Medium,Resolved,LHR
IN0001825,FL0010210,AC01097,2026-06-17 10:12:00,Weather Alert,Low,Open,LHR
IN0001826,FL0002138,AC00038,2026-05-31 12:23:00,Bird Strike,Low,Closed,DEN
IN0001827,FL0008041,AC00966,2026-06-05 14:45:00,Engine Alert,Low,Closed,DFW
IN0001828,FL0000277,AC00397,2026-04-04 12:45:00,Turbulence,Low,Resolved,DEL
IN0001829,FL0003680,AC00303,2026-02-01 14:22:00,Weather Alert,Medium,Closed,DEN
IN0001830,FL0013855,AC00885,2026-05-04 14:25:00,Hydraulic Leak,High,Investigating,LHR
IN0001831,FL0005653,AC00478,2026-04-13 04:45:00,Navigation Error,High,Resolved,DFW
IN0001832,FL0000381,AC01149,2026-04-03 03:39:00,Navigation Error,Medium,Investigating,DEN
IN0001833,FL0011856,AC01024,2026-03-28 01:46:00,Brake Issue,High,Investigating,MIA
IN0001834,FL0000366,AC00287,2026-02-18 00:49:00,Hydraulic Leak,High,Open,ATL
IN0001835,FL0012642,AC00863,2026-06-24 07:15:00,Navigation Error,Medium,Closed,SEA
IN0001836,FL0000654,AC00004,2026-05-17 00:47:00,Bird Strike,Low,Closed,DXB
IN0001837,FL0001340,AC00982,2026-06-15 20:54:00,Bird Strike,Medium,Open,SFO
IN0001838,FL0008600,AC00895,2026-03-09 04:59:00,Bird Strike,Low,Resolved,LAX
IN0001839,FL0013436,AC00316,2026-02-17 18:22:00,Turbulence,Low,Open,DXB
IN0001840,FL0011979,AC00882,2026-01-11 10:26:00,Bird Strike,Low,Closed,DXB
IN0001841,FL0006264,AC00026,2026-01-20 21:22:00,Navigation Error,Medium,Closed,DEN
IN0001842,FL0011408,AC01153,2026-01-24 11:18:00,Hydraulic Leak,Medium,Resolved,DEN
IN0001843,FL0001244,AC00762,2026-06-03 17:35:00,Engine Alert,Medium,Open,BOS
IN0001844,FL0004325,AC00119,2026-05-23 15:23:00,Engine Alert,Low,Resolved,DEL
IN0001845,FL0005216,AC00315,2026-05-07 13:14:00,Brake Issue,High,Resolved,DFW
IN0001846,FL0012339,AC01065,2026-05-09 23:15:00,Weather Alert,Medium,Investigating,DFW
IN0001847,FL0011621,AC00240,2026-01-14 05:05:00,Hydraulic Leak,Low,Resolved,MIA
IN0001848,FL0011367,AC01067,2026-01-17 23:44:00,Engine Alert,Medium,Open,MIA
IN0001849,FL0010742,AC00196,2026-06-14 20:14:00,Engine Alert,Low,Resolved,SFO
IN0001850,FL0007892,AC00397,2026-01-28 03:34:00,Turbulence,Low,Resolved,ATL
IN0001851,FL0006702,AC00674,2026-03-30 11:39:00,Weather Alert,Low,Investigating,ATL
IN0001852,FL0004812,AC00065,2026-03-26 06:22:00,Bird Strike,Medium,Open,MIA
IN0001853,FL0010100,AC00754,2026-04-10 08:40:00,Turbulence,Low,Closed,DXB
IN0001854,FL0006159,AC00484,2026-06-25 01:29:00,Navigation Error,Medium,Investigating,BOS
IN0001855,FL0003513,AC00081,2026-02-16 18:30:00,Brake Issue,Low,Open,BLR
IN0001856,FL0013279,AC00769,2026-03-16 14:55:00,Turbulence,Low,Closed,SEA
IN0001857,FL0002290,AC00525,2026-04-09 08:03:00,Navigation Error,Low,Investigating,SFO
IN0001858,FL0006842,AC01200,2026-03-27 09:33:00,Navigation Error,Medium,Investigating,BLR
IN0001859,FL0006050,AC00242,2026-06-29 00:24:00,Weather Alert,High,Open,DEN
IN0001860,FL0002772,AC00624,2026-01-02 14:25:00,Engine Alert,Medium,Closed,LHR
IN0001861,FL0000626,AC01146,2026-02-02 09:28:00,Turbulence,Low,Resolved,BLR
IN0001862,FL0007975,AC00929,2026-01-12 20:42:00,Bird Strike,Low,Resolved,SFO
IN0001863,FL0010168,AC00555,2026-06-19 04:11:00,Engine Alert,Low,Open,ATL
IN0001864,FL0003129,AC01120,2026-06-12 10:05:00,Hydraulic Leak,Low,Investigating,LAX
IN0001865,FL0007260,AC00242,2026-04-25 09:28:00,Bird Strike,High,Investigating,JFK
IN0001866,FL0003310,AC01053,2026-03-04 03:46:00,Navigation Error,Low,Open,SFO
IN0001867,FL0000682,AC00240,2026-02-20 03:50:00,Weather Alert,Low,Resolved,ATL
IN0001868,FL0011068,AC00147,2026-05-05 18:15:00,Hydraulic Leak,Medium,Open,BLR
IN0001869,FL0011489,AC00443,2026-03-19 09:58:00,Engine Alert,Low,Closed,BOS
IN0001870,FL0006611,AC01066,2026-02-13 06:41:00,Brake Issue,High,Closed,SEA
IN0001871,FL0011353,AC00402,2026-02-27 08:58:00,Navigation Error,Low,Resolved,SIN
IN0001872,FL0012610,AC01090,2026-04-28 22:19:00,Hydraulic Leak,High,Investigating,DEN
IN0001873,FL0014180,AC00765,2026-02-27 16:54:00,Engine Alert,Low,Closed,DEL
IN0001874,FL0010131,AC01110,2026-06-27 12:51:00,Brake Issue,High,Open,ATL
IN0001875,FL0008146,AC00411,2026-05-18 15:59:00,Engine Alert,Medium,Closed,DEN
IN0001876,FL0012278,AC00118,2026-05-07 02:38:00,Bird Strike,Low,Closed,DEL
IN0001877,FL0002145,AC00251,2026-05-23 01:04:00,Engine Alert,Low,Open,DFW
IN0001878,FL0004518,AC00564,2026-01-05 03:38:00,Hydraulic Leak,High,Resolved,DEN
IN0001879,FL0010867,AC00445,2026-03-15 02:55:00,Engine Alert,Low,Closed,ORD
IN0001880,FL0005864,AC00447,2026-04-16 14:07:00,Hydraulic Leak,Medium,Open,JFK
IN0001881,FL0014599,AC00258,2026-04-26 03:15:00,Brake Issue,Low,Closed,DEL
IN0001882,FL0009761,AC00909,2026-01-07 13:14:00,Hydraulic Leak,Low,Open,MIA
IN0001883,FL0004236,AC00622,2026-03-26 19:25:00,Brake Issue,High,Open,SFO
IN0001884,FL0005215,AC00040,2026-01-10 06:03:00,Turbulence,Medium,Investigating,BOS
IN0001885,FL0008460,AC00505,2026-03-28 14:02:00,Hydraulic Leak,Low,Resolved,SEA
IN0001886,FL0006892,AC00995,2026-01-14 05:07:00,Engine Alert,Low,Open,DEL
IN0001887,FL0004458,AC01010,2026-01-11 10:37:00,Bird Strike,High,Closed,DEN
IN0001888,FL0005618,AC00477,2026-06-25 01:30:00,Bird Strike,Medium,Resolved,MIA
IN0001889,FL0007047,AC00894,2026-03-22 20:30:00,Weather Alert,Low,Resolved,LAX
IN0001890,FL0012255,AC00656,2026-03-26 21:01:00,Hydraulic Leak,Critical,Open,DFW
IN0001891,FL0006259,AC00236,2026-01-18 19:14:00,Hydraulic Leak,Low,Closed,ORD
IN0001892,FL0006940,AC00232,2026-02-09 20:04:00,Engine Alert,Medium,Investigating,ATL
IN0001893,FL0005624,AC00321,2026-03-24 07:34:00,Engine Alert,Low,Investigating,MIA
IN0001894,FL0007141,AC00739,2026-05-03 11:10:00,Engine Alert,Medium,Closed,MIA
IN0001895,FL0004787,AC00782,2026-02-20 12:22:00,Hydraulic Leak,Medium,Open,DXB
IN0001896,FL0010493,AC00766,2026-05-03 21:25:00,Brake Issue,Low,Open,LHR
IN0001897,FL0000457,AC00930,2026-04-30 08:59:00,Hydraulic Leak,Medium,Open,SEA
IN0001898,FL0004500,AC01039,2026-04-28 07:17:00,Brake Issue,High,Resolved,DEN
IN0001899,FL0013166,AC00373,2026-06-04 02:11:00,Engine Alert,Critical,Resolved,SEA
IN0001900,FL0004834,AC00979,2026-03-15 03:04:00,Weather Alert,Low,Investigating,SEA
IN0001901,FL0001415,AC01184,2026-04-17 22:59:00,Engine Alert,Critical,Closed,ATL
IN0001902,FL0007304,AC00659,2026-02-04 06:57:00,Engine Alert,Medium,Open,BLR
IN0001903,FL0001602,AC01047,2026-06-08 18:43:00,Turbulence,Low,Resolved,BOS
IN0001904,FL0001838,AC01191,2026-05-12 03:22:00,Bird Strike,Critical,Resolved,LAX
IN0001905,FL0010489,AC00742,2026-05-08 04:53:00,Bird Strike,Low,Investigating,BOS
IN0001906,FL0005417,AC00615,2026-02-17 05:19:00,Bird Strike,Medium,Open,DFW
IN0001907,FL0006983,AC00113,2026-04-20 11:38:00,Engine Alert,Medium,Closed,SEA
IN0001908,FL0010040,AC00333,2026-05-14 22:00:00,Brake Issue,Low,Open,BLR
IN0001909,FL0013313,AC00998,2026-04-25 03:18:00,Navigation Error,Medium,Closed,DEN
IN0001910,FL0013252,AC00699,2026-03-02 19:35:00,Turbulence,Low,Investigating,LAX
IN0001911,FL0002377,AC00095,2026-01-29 22:15:00,Hydraulic Leak,Medium,Closed,LAX
IN0001912,FL0003629,AC00812,2026-06-11 08:39:00,Turbulence,Critical,Resolved,LAX
IN0001913,FL0001322,AC00655,2026-04-21 03:04:00,Turbulence,High,Investigating,SEA
IN0001914,FL0006970,AC00407,2026-02-15 12:54:00,Bird Strike,High,Resolved,ORD
IN0001915,FL0011997,AC00730,2026-05-04 12:12:00,Navigation Error,Medium,Investigating,DEN
IN0001916,FL0006215,AC00248,2026-01-09 00:24:00,Weather Alert,Medium,Open,LAX
IN0001917,FL0014937,AC00157,2026-01-14 12:02:00,Hydraulic Leak,High,Resolved,BLR
IN0001918,FL0008634,AC00110,2026-04-30 13:09:00,Weather Alert,Low,Closed,DEL
IN0001919,FL0003667,AC00170,2026-06-08 00:19:00,Brake Issue,High,Resolved,ATL
IN0001920,FL0002540,AC00662,2026-05-24 07:41:00,Navigation Error,Medium,Closed,LAX
IN0001921,FL0000280,AC00076,2026-03-03 03:07:00,Navigation Error,Medium,Open,MIA
IN0001922,FL0011592,AC00261,2026-02-05 20:11:00,Brake Issue,Low,Closed,SFO
IN0001923,FL0005064,AC01090,2026-02-10 09:11:00,Brake Issue,Medium,Open,DXB
IN0001924,FL0006367,AC00331,2026-03-19 03:21:00,Bird Strike,Medium,Investigating,SIN
IN0001925,FL0014463,AC00036,2026-06-01 23:57:00,Brake Issue,Low,Investigating,BOS
IN0001926,FL0004765,AC00397,2026-03-15 15:32:00,Turbulence,High,Investigating,DEL
IN0001927,FL0011601,AC01026,2026-06-04 21:33:00,Bird Strike,High,Open,SIN
IN0001928,FL0000501,AC00113,2026-05-27 17:36:00,Navigation Error,High,Investigating,LAX
IN0001929,FL0014872,AC01009,2026-03-19 01:02:00,Weather Alert,Low,Investigating,JFK
IN0001930,FL0005137,AC00848,2026-02-16 08:58:00,Bird Strike,Low,Investigating,DXB
IN0001931,FL0008439,AC01142,2026-02-06 14:44:00,Turbulence,Medium,Resolved,ORD
IN0001932,FL0011492,AC00615,2026-01-14 21:02:00,Engine Alert,Low,Investigating,ORD
IN0001933,FL0001070,AC00270,2026-05-31 17:05:00,Navigation Error,Low,Investigating,DXB
IN0001934,FL0009714,AC00636,2026-04-10 19:16:00,Bird Strike,Low,Resolved,ORD
IN0001935,FL0008689,AC00982,2026-03-24 13:33:00,Brake Issue,Low,Open,JFK
IN0001936,FL0003650,AC00444,2026-04-08 13:55:00,Weather Alert,Low,Closed,ATL
IN0001937,FL0009910,AC00188,2026-03-08 02:18:00,Navigation Error,Medium,Open,BOS
IN0001938,FL0005065,AC00587,2026-06-14 02:54:00,Brake Issue,Medium,Investigating,MIA
IN0001939,FL0006696,AC00038,2026-04-09 22:13:00,Engine Alert,Low,Open,MIA
IN0001940,FL0010397,AC01037,2026-03-23 23:40:00,Brake Issue,Low,Closed,BLR
IN0001941,FL0007753,AC00760,2026-04-24 10:09:00,Brake Issue,Low,Open,MIA
IN0001942,FL0001910,AC00449,2026-05-10 22:40:00,Weather Alert,Low,Closed,DEN
IN0001943,FL0001069,AC00238,2026-04-12 02:36:00,Hydraulic Leak,Low,Resolved,BOS
IN0001944,FL0006368,AC00800,2026-04-14 22:21:00,Brake Issue,High,Closed,ORD
IN0001945,FL0012852,AC01101,2026-02-22 09:24:00,Bird Strike,Medium,Investigating,LAX
IN0001946,FL0004475,AC00673,2026-07-01 12:06:00,Hydraulic Leak,High,Open,BLR
IN0001947,FL0013288,AC00571,2026-02-12 03:52:00,Navigation Error,High,Resolved,ORD
IN0001948,FL0014506,AC00106,2026-03-16 03:32:00,Engine Alert,Medium,Closed,DEN
IN0001949,FL0001809,AC01156,2026-04-24 22:12:00,Brake Issue,Medium,Resolved,DXB
IN0001950,FL0013784,AC00291,2026-06-10 00:05:00,Turbulence,Low,Investigating,DFW
IN0001951,FL0012751,AC00781,2026-02-11 19:48:00,Navigation Error,Low,Investigating,MIA
IN0001952,FL0014544,AC00001,2026-03-04 04:38:00,Hydraulic Leak,Low,Open,ORD
IN0001953,FL0010471,AC01096,2026-05-28 09:25:00,Hydraulic Leak,Medium,Open,BLR
IN0001954,FL0008648,AC00397,2026-04-09 22:23:00,Weather Alert,Low,Resolved,BOS
IN0001955,FL0008309,AC00839,2026-01-30 23:39:00,Navigation Error,Low,Investigating,DFW
IN0001956,FL0010117,AC00324,2026-05-24 09:40:00,Bird Strike,Medium,Investigating,SIN
IN0001957,FL0006848,AC01095,2026-02-22 20:22:00,Brake Issue,Medium,Resolved,DXB
IN0001958,FL0014927,AC00028,2026-02-24 21:59:00,Weather Alert,Low,Investigating,BOS
IN0001959,FL0002891,AC00240,2026-01-21 09:00:00,Bird Strike,Low,Resolved,DEL
IN0001960,FL0005338,AC00729,2026-01-27 07:42:00,Engine Alert,High,Closed,DEL
IN0001961,FL0005098,AC00192,2026-04-28 21:41:00,Hydraulic Leak,Medium,Investigating,LHR
IN0001962,FL0014909,AC00556,2026-03-17 04:09:00,Brake Issue,Low,Investigating,JFK
IN0001963,FL0001140,AC00571,2026-03-10 02:56:00,Navigation Error,Low,Closed,LHR
IN0001964,FL0010959,AC00010,2026-02-28 16:26:00,Weather Alert,Low,Investigating,LHR
IN0001965,FL0012490,AC00207,2026-02-27 02:52:00,Navigation Error,Low,Investigating,SFO
IN0001966,FL0003738,AC01065,2026-01-19 23:35:00,Hydraulic Leak,Medium,Open,LHR
IN0001967,FL0003593,AC00083,2026-03-15 00:48:00,Navigation Error,High,Closed,SFO
IN0001968,FL0000854,AC00964,2026-05-26 04:46:00,Hydraulic Leak,Low,Open,LAX
IN0001969,FL0000220,AC00555,2026-03-07 08:59:00,Engine Alert,Low,Investigating,BOS
IN0001970,FL0002556,AC01079,2026-06-27 04:35:00,Brake Issue,Low,Open,ORD
IN0001971,FL0006956,AC01058,2026-05-08 10:53:00,Engine Alert,Medium,Open,DFW
IN0001972,FL0009093,AC00001,2026-03-09 23:19:00,Hydraulic Leak,Medium,Resolved,DXB
IN0001973,FL0012962,AC00023,2026-04-15 15:32:00,Hydraulic Leak,Medium,Investigating,LAX
IN0001974,FL0006820,AC00413,2026-05-11 03:24:00,Hydraulic Leak,Low,Investigating,LHR
IN0001975,FL0007274,AC00894,2026-05-25 13:30:00,Weather Alert,Low,Resolved,SIN
IN0001976,FL0001115,AC00341,2026-03-16 17:01:00,Turbulence,Low,Closed,BLR
IN0001977,FL0010431,AC00275,2026-04-30 12:26:00,Navigation Error,Medium,Investigating,LHR
IN0001978,FL0009573,AC00167,2026-04-19 12:00:00,Hydraulic Leak,Low,Resolved,JFK
IN0001979,FL0011973,AC00085,2026-06-29 03:31:00,Weather Alert,Low,Closed,SFO
IN0001980,FL0001576,AC00749,2026-06-06 15:17:00,Weather Alert,High,Open,ORD
IN0001981,FL0003566,AC01166,2026-02-09 18:23:00,Hydraulic Leak,Medium,Resolved,MIA
IN0001982,FL0012242,AC00031,2026-06-16 18:05:00,Weather Alert,Low,Investigating,DEN
IN0001983,FL0006346,AC00473,2026-06-21 05:21:00,Hydraulic Leak,Medium,Resolved,BLR
IN0001984,FL0013197,AC00684,2026-03-02 11:23:00,Weather Alert,Low,Investigating,JFK
IN0001985,FL0000017,AC00450,2026-01-09 20:56:00,Brake Issue,Low,Investigating,SIN
IN0001986,FL0002901,AC01070,2026-05-03 14:25:00,Turbulence,Low,Investigating,SFO
IN0001987,FL0002304,AC00417,2026-03-27 02:56:00,Weather Alert,Medium,Resolved,BLR
IN0001988,FL0003389,AC01173,2026-05-15 15:22:00,Hydraulic Leak,Low,Resolved,BLR
IN0001989,FL0005105,AC00123,2026-06-13 14:19:00,Navigation Error,Low,Closed,SEA
IN0001990,FL0010347,AC00655,2026-04-25 19:11:00,Bird Strike,Low,Resolved,BLR
IN0001991,FL0004652,AC00324,2026-04-25 08:14:00,Brake Issue,Low,Open,DXB
IN0001992,FL0000621,AC00162,2026-03-26 20:06:00,Engine Alert,Medium,Resolved,DEL
IN0001993,FL0010539,AC00380,2026-06-11 13:44:00,Brake Issue,Low,Open,DEL
IN0001994,FL0013003,AC00236,2026-03-21 13:47:00,Brake Issue,High,Closed,DXB
IN0001995,FL0013992,AC00812,2026-03-20 01:15:00,Weather Alert,Low,Resolved,DEL
IN0001996,FL0008403,AC00066,2026-05-24 01:46:00,Turbulence,Low,Closed,DXB
IN0001997,FL0000691,AC01120,2026-02-05 21:48:00,Navigation Error,Low,Closed,SFO
IN0001998,FL0012113,AC00791,2026-01-26 11:10:00,Navigation Error,Critical,Open,MIA
IN0001999,FL0007348,AC01187,2026-01-29 06:43:00,Turbulence,Low,Resolved,SEA
IN0002000,FL0013986,AC00552,2026-03-22 08:00:00,Brake Issue,Low,Resolved,SEA
IN0002001,FL0003562,AC00666,2026-01-26 19:22:00,Bird Strike,Low,Resolved,SEA
IN0002002,FL0001936,AC01143,2026-03-31 11:19:00,Hydraulic Leak,High,Closed,ORD
IN0002003,FL0010590,AC00148,2026-01-14 19:54:00,Hydraulic Leak,Medium,Investigating,DEN
IN0002004,FL0000441,AC01123,2026-05-14 03:16:00,Brake Issue,Medium,Investigating,DXB
IN0002005,FL0014136,AC00008,2026-05-20 21:31:00,Bird Strike,Medium,Open,ORD
IN0002006,FL0001691,AC01080,2026-05-18 22:30:00,Bird Strike,High,Investigating,JFK
IN0002007,FL0011401,AC00410,2026-05-29 05:00:00,Engine Alert,Low,Investigating,MIA
IN0002008,FL0005841,AC00690,2026-04-07 21:59:00,Weather Alert,Low,Resolved,ATL
IN0002009,FL0004505,AC00802,2026-04-22 17:40:00,Weather Alert,Medium,Open,MIA
IN0002010,FL0007886,AC00559,2026-06-19 12:42:00,Weather Alert,Critical,Resolved,SFO
IN0002011,FL0013891,AC00360,2026-01-02 02:33:00,Navigation Error,High,Open,DXB
IN0002012,FL0010503,AC00157,2026-04-20 00:08:00,Bird Strike,Low,Investigating,DEN
IN0002013,FL0009216,AC00160,2026-06-25 12:49:00,Engine Alert,Low,Investigating,JFK
IN0002014,FL0013544,AC00338,2026-03-13 23:54:00,Bird Strike,Low,Resolved,BOS
IN0002015,FL0003735,AC00805,2026-01-27 14:45:00,Weather Alert,High,Closed,DXB
IN0002016,FL0007129,AC01050,2026-03-29 14:43:00,Hydraulic Leak,Low,Open,LHR
IN0002017,FL0002013,AC00068,2026-05-13 16:26:00,Navigation Error,Low,Investigating,LAX
IN0002018,FL0009579,AC00438,2026-01-25 09:19:00,Hydraulic Leak,High,Resolved,ORD
IN0002019,FL0008705,AC00404,2026-03-24 02:18:00,Navigation Error,Low,Resolved,SEA
IN0002020,FL0012993,AC01048,2026-02-06 14:49:00,Weather Alert,Medium,Open,LHR
IN0002021,FL0012630,AC00254,2026-04-18 04:30:00,Hydraulic Leak,Low,Resolved,JFK
IN0002022,FL0000287,AC00618,2026-05-22 15:37:00,Weather Alert,Low,Closed,DEN
IN0002023,FL0014827,AC01016,2026-05-07 04:21:00,Weather Alert,Critical,Open,SFO
IN0002024,FL0004699,AC01084,2026-06-14 01:12:00,Navigation Error,Low,Closed,DXB
IN0002025,FL0005820,AC01045,2026-01-05 04:34:00,Turbulence,High,Open,LHR
